id,grievance,department,status
G001,Residents reported that street lights are not working in the apartment neighborhood The problem has continued for several days.,Electricity,Resolved
G002,Several residents complain that frequent power cuts in my area near the market Please inspect and resolve this issue.,Electricity,Resolved
G003,Please address the issue that transformer is sparking in Ward 12 This is affecting daily life in the area.,Electricity,Resolved
G004,Please address the issue that electricity pole is damaged near the railway station Residents are requesting a quick solution.,Electricity,Resolved
G005,Please address the issue that low voltage is affecting homes in the old town area Kindly send the concerned team.,Electricity,Resolved
G006,People in the neighborhood say that new electricity connection is delayed near the railway station Kindly send the concerned team.,Electricity,Resolved
G007,Residents reported that meter reading is incorrect on Main Road Kindly send the concerned team.,Electricity,Resolved
G008,Several residents complain that electricity bill is unusually high near the bus stand The problem has continued for several days.,Electricity,Resolved
G009,A citizen reports that street lights are not working in the residential colony Residents are requesting a quick solution.,Electricity,Resolved
G010,Several residents complain that frequent power cuts in my area near the bus stand Kindly send the concerned team.,Electricity,Resolved
G011,People in the neighborhood say that transformer is sparking near the railway station Please inspect and resolve this issue.,Electricity,Resolved
G012,People in the neighborhood say that electricity pole is damaged in Ward 12 The problem has continued for several days.,Electricity,Resolved
G013,Please address the issue that low voltage is affecting homes beside the community centre Kindly send the concerned team.,Electricity,Resolved
G014,Several residents complain that new electricity connection is delayed near the school and request urgent action.,Electricity,Resolved
G015,Residents reported that meter reading is incorrect in Ward 12 Kindly send the concerned team.,Electricity,Resolved
G016,People in the neighborhood say that electricity bill is unusually high in the old town area Kindly send the concerned team.,Electricity,Resolved
G017,Please address the issue that street lights are not working on Main Road Kindly send the concerned team.,Electricity,Resolved
G018,Please address the issue that frequent power cuts in my area near the railway station Residents are requesting a quick solution.,Electricity,Resolved
G019,Residents reported that transformer is sparking near the bus stand The problem has continued for several days.,Electricity,Resolved
G020,Residents reported that electricity pole is damaged in the apartment neighborhood Residents are requesting a quick solution.,Electricity,Resolved
G021,Several residents complain that low voltage is affecting homes beside the community centre This is affecting daily life in the area.,Electricity,Resolved
G022,A citizen reports that new electricity connection is delayed near the railway station Residents are requesting a quick solution.,Electricity,Resolved
G023,Please address the issue that meter reading is incorrect beside the community centre This is affecting daily life in the area.,Electricity,Resolved
G024,Residents reported that electricity bill is unusually high in the old town area Please inspect and resolve this issue.,Electricity,Resolved
G025,A citizen reports that street lights are not working near the railway station and request urgent action.,Electricity,Resolved
G026,Residents reported that frequent power cuts in my area in Ward 12 This is affecting daily life in the area.,Electricity,Resolved
G027,Residents reported that transformer is sparking in Ward 12 Please inspect and resolve this issue.,Electricity,Resolved
G028,Please address the issue that electricity pole is damaged near the school Kindly send the concerned team.,Electricity,Resolved
G029,Several residents complain that low voltage is affecting homes in the old town area This is affecting daily life in the area.,Electricity,Resolved
G030,Residents reported that new electricity connection is delayed in the residential colony Please inspect and resolve this issue.,Electricity,Resolved
G031,Several residents complain that no water supply since morning near the bus stand Kindly send the concerned team.,Water Supply,Resolved
G032,Please address the issue that water pressure is very low near the market Please inspect and resolve this issue.,Water Supply,Resolved
G033,A citizen reports that drinking water is contaminated beside the community centre Kindly send the concerned team.,Water Supply,Resolved
G034,Residents reported that pipeline is leaking near my house in Ward 12 This is affecting daily life in the area.,Water Supply,Resolved
G035,Please address the issue that water tanker has not arrived in the residential colony This is affecting daily life in the area.,Water Supply,Resolved
G036,Please address the issue that new water connection is pending near the market Kindly send the concerned team.,Water Supply,Resolved
G037,Residents reported that water meter is faulty in the residential colony Kindly send the concerned team.,Water Supply,Resolved
G038,Residents reported that irregular municipal water supply in Ward 12 Please inspect and resolve this issue.,Water Supply,Resolved
G039,A citizen reports that no water supply since morning near the railway station and request urgent action.,Water Supply,Resolved
G040,People in the neighborhood say that water pressure is very low beside the community centre This is affecting daily life in the area.,Water Supply,Resolved
G041,Please address the issue that drinking water is contaminated near the market and request urgent action.,Water Supply,Resolved
G042,A citizen reports that pipeline is leaking near my house near the school Residents are requesting a quick solution.,Water Supply,Resolved
G043,Several residents complain that water tanker has not arrived in the old town area This is affecting daily life in the area.,Water Supply,Resolved
G044,A citizen reports that new water connection is pending in Ward 12 Residents are requesting a quick solution.,Water Supply,Resolved
G045,Residents reported that water meter is faulty near the bus stand The problem has continued for several days.,Water Supply,Resolved
G046,Please address the issue that irregular municipal water supply near the railway station and request urgent action.,Water Supply,Resolved
G047,Residents reported that no water supply since morning on Main Road The problem has continued for several days.,Water Supply,Resolved
G048,People in the neighborhood say that water pressure is very low in the residential colony Please inspect and resolve this issue.,Water Supply,Resolved
G049,Several residents complain that drinking water is contaminated near the railway station Residents are requesting a quick solution.,Water Supply,Resolved
G050,People in the neighborhood say that pipeline is leaking near my house in the apartment neighborhood This is affecting daily life in the area.,Water Supply,Resolved
G051,Residents reported that water tanker has not arrived on Main Road This is affecting daily life in the area.,Water Supply,Resolved
G052,A citizen reports that new water connection is pending near the school and request urgent action.,Water Supply,Resolved
G053,People in the neighborhood say that water meter is faulty in the residential colony Residents are requesting a quick solution.,Water Supply,Resolved
G054,Residents reported that irregular municipal water supply on Main Road and request urgent action.,Water Supply,Resolved
G055,Residents reported that no water supply since morning near the bus stand This is affecting daily life in the area.,Water Supply,Resolved
G056,Residents reported that water pressure is very low near the railway station The problem has continued for several days.,Water Supply,Resolved
G057,Several residents complain that drinking water is contaminated in the old town area This is affecting daily life in the area.,Water Supply,Resolved
G058,People in the neighborhood say that pipeline is leaking near my house near the bus stand This is affecting daily life in the area.,Water Supply,Resolved
G059,Residents reported that water tanker has not arrived beside the community centre and request urgent action.,Water Supply,Resolved
G060,A citizen reports that new water connection is pending in the apartment neighborhood Please inspect and resolve this issue.,Water Supply,Resolved
G061,Several residents complain that garbage has not been collected near the school Please inspect and resolve this issue.,Sanitation,Resolved
G062,Residents reported that waste is piling up on the road near the school Kindly send the concerned team.,Sanitation,Resolved
G063,A citizen reports that public bin is overflowing near the bus stand The problem has continued for several days.,Sanitation,Resolved
G064,A citizen reports that street is dirty and needs cleaning in the residential colony This is affecting daily life in the area.,Sanitation,Resolved
G065,Residents reported that dead animals are lying on the roadside in the apartment neighborhood This is affecting daily life in the area.,Sanitation,Resolved
G066,Please address the issue that sewage is overflowing in Ward 12 Please inspect and resolve this issue.,Sanitation,Resolved
G067,Residents reported that drain is blocked with waste in Ward 12 Please inspect and resolve this issue.,Sanitation,Resolved
G068,Please address the issue that illegal dumping is causing a bad smell in Ward 12 The problem has continued for several days.,Sanitation,Resolved
G069,People in the neighborhood say that garbage has not been collected near the school Please inspect and resolve this issue.,Sanitation,Resolved
G070,People in the neighborhood say that waste is piling up on the road beside the community centre This is affecting daily life in the area.,Sanitation,Resolved
G071,Residents reported that public bin is overflowing near the market and request urgent action.,Sanitation,Resolved
G072,Please address the issue that street is dirty and needs cleaning near the school Please inspect and resolve this issue.,Sanitation,Resolved
G073,People in the neighborhood say that dead animals are lying on the roadside on Main Road Please inspect and resolve this issue.,Sanitation,Resolved
G074,Please address the issue that sewage is overflowing in the residential colony The problem has continued for several days.,Sanitation,Resolved
G075,Please address the issue that drain is blocked with waste in the apartment neighborhood This is affecting daily life in the area.,Sanitation,Resolved
G076,People in the neighborhood say that illegal dumping is causing a bad smell on Main Road This is affecting daily life in the area.,Sanitation,Resolved
G077,Residents reported that garbage has not been collected near the school The problem has continued for several days.,Sanitation,Resolved
G078,Residents reported that waste is piling up on the road near the market and request urgent action.,Sanitation,Resolved
G079,Several residents complain that public bin is overflowing in the old town area This is affecting daily life in the area.,Sanitation,Resolved
G080,Please address the issue that street is dirty and needs cleaning near the market Residents are requesting a quick solution.,Sanitation,Resolved
G081,Please address the issue that dead animals are lying on the roadside in the old town area and request urgent action.,Sanitation,Resolved
G082,A citizen reports that sewage is overflowing in Ward 12 Kindly send the concerned team.,Sanitation,Resolved
G083,A citizen reports that drain is blocked with waste near the market Residents are requesting a quick solution.,Sanitation,Resolved
G084,Residents reported that illegal dumping is causing a bad smell beside the community centre This is affecting daily life in the area.,Sanitation,Resolved
G085,Several residents complain that garbage has not been collected in Ward 12 and request urgent action.,Sanitation,Resolved
G086,Several residents complain that waste is piling up on the road in the residential colony Please inspect and resolve this issue.,Sanitation,Resolved
G087,A citizen reports that public bin is overflowing near the bus stand This is affecting daily life in the area.,Sanitation,Resolved
G088,Several residents complain that street is dirty and needs cleaning in the apartment neighborhood Residents are requesting a quick solution.,Sanitation,Resolved
G089,People in the neighborhood say that dead animals are lying on the roadside beside the community centre Please inspect and resolve this issue.,Sanitation,Resolved
G090,Please address the issue that sewage is overflowing on Main Road Residents are requesting a quick solution.,Sanitation,Resolved
G091,People in the neighborhood say that large potholes are present on the main road in the residential colony Please inspect and resolve this issue.,Roads,Resolved
G092,Several residents complain that road surface is badly damaged beside the community centre and request urgent action.,Roads,Resolved
G093,People in the neighborhood say that footpath is broken beside the community centre This is affecting daily life in the area.,Roads,Resolved
G094,Several residents complain that traffic signal is not working near the market This is affecting daily life in the area.,Roads,Resolved
G095,A citizen reports that road repair has been delayed near the railway station The problem has continued for several days.,Roads,Resolved
G096,Please address the issue that open manhole is dangerous near the market and request urgent action.,Roads,Resolved
G097,Several residents complain that speed breaker is damaged in Ward 12 Kindly send the concerned team.,Roads,Resolved
G098,A citizen reports that road markings are faded on Main Road This is affecting daily life in the area.,Roads,Resolved
G099,Please address the issue that large potholes are present on the main road beside the community centre and request urgent action.,Roads,Resolved
G100,Residents reported that road surface is badly damaged in the residential colony Residents are requesting a quick solution.,Roads,Resolved
G101,People in the neighborhood say that footpath is broken near the school Residents are requesting a quick solution.,Roads,Resolved
G102,People in the neighborhood say that traffic signal is not working in the residential colony Residents are requesting a quick solution.,Roads,Resolved
G103,Please address the issue that road repair has been delayed in Ward 12 Residents are requesting a quick solution.,Roads,Resolved
G104,People in the neighborhood say that open manhole is dangerous near the bus stand and request urgent action.,Roads,Resolved
G105,Residents reported that speed breaker is damaged near the bus stand Residents are requesting a quick solution.,Roads,Resolved
G106,Please address the issue that road markings are faded beside the community centre and request urgent action.,Roads,Resolved
G107,A citizen reports that large potholes are present on the main road near the market Please inspect and resolve this issue.,Roads,Resolved
G108,A citizen reports that road surface is badly damaged in the residential colony Residents are requesting a quick solution.,Roads,Resolved
G109,Please address the issue that footpath is broken beside the community centre Please inspect and resolve this issue.,Roads,Resolved
G110,Please address the issue that traffic signal is not working in Ward 12 Residents are requesting a quick solution.,Roads,Resolved
G111,A citizen reports that road repair has been delayed near the school This is affecting daily life in the area.,Roads,Resolved
G112,People in the neighborhood say that open manhole is dangerous in Ward 12 and request urgent action.,Roads,Resolved
G113,Residents reported that speed breaker is damaged near the market and request urgent action.,Roads,Resolved
G114,Several residents complain that road markings are faded on Main Road Please inspect and resolve this issue.,Roads,Resolved
G115,People in the neighborhood say that large potholes are present on the main road near the school Kindly send the concerned team.,Roads,Resolved
G116,Several residents complain that road surface is badly damaged in the apartment neighborhood Residents are requesting a quick solution.,Roads,Resolved
G117,Please address the issue that footpath is broken on Main Road Residents are requesting a quick solution.,Roads,Resolved
G118,A citizen reports that traffic signal is not working beside the community centre This is affecting daily life in the area.,Roads,Resolved
G119,Residents reported that road repair has been delayed near the bus stand Kindly send the concerned team.,Roads,Resolved
G120,Several residents complain that open manhole is dangerous in the apartment neighborhood This is affecting daily life in the area.,Roads,Resolved
G121,Several residents complain that bus service is irregular near the bus stand Kindly send the concerned team.,Public Transport,Resolved
G122,Please address the issue that bus did not stop at the scheduled stop beside the community centre This is affecting daily life in the area.,Public Transport,Resolved
G123,People in the neighborhood say that bus shelter is damaged beside the community centre Kindly send the concerned team.,Public Transport,Resolved
G124,Residents reported that bus route needs an additional stop near the market Please inspect and resolve this issue.,Public Transport,Resolved
G125,A citizen reports that public bus is overcrowded near the school and request urgent action.,Public Transport,Resolved
G126,People in the neighborhood say that bus pass renewal is delayed on Main Road and request urgent action.,Public Transport,Resolved
G127,Please address the issue that bus timings are not displayed in Ward 12 Kindly send the concerned team.,Public Transport,Resolved
G128,Residents reported that driver is skipping stops in Ward 12 and request urgent action.,Public Transport,Resolved
G129,Please address the issue that bus service is irregular near the bus stand and request urgent action.,Public Transport,Resolved
G130,Several residents complain that bus did not stop at the scheduled stop on Main Road Residents are requesting a quick solution.,Public Transport,Resolved
G131,Residents reported that bus shelter is damaged beside the community centre This is affecting daily life in the area.,Public Transport,Resolved
G132,Several residents complain that bus route needs an additional stop in the old town area Residents are requesting a quick solution.,Public Transport,Resolved
G133,Please address the issue that public bus is overcrowded near the market and request urgent action.,Public Transport,Resolved
G134,Residents reported that bus pass renewal is delayed in the old town area and request urgent action.,Public Transport,Resolved
G135,Several residents complain that bus timings are not displayed in the apartment neighborhood Residents are requesting a quick solution.,Public Transport,Resolved
G136,Residents reported that driver is skipping stops near the bus stand and request urgent action.,Public Transport,Resolved
G137,Please address the issue that bus service is irregular in the apartment neighborhood Kindly send the concerned team.,Public Transport,Resolved
G138,People in the neighborhood say that bus did not stop at the scheduled stop in the apartment neighborhood Please inspect and resolve this issue.,Public Transport,Resolved
G139,Residents reported that bus shelter is damaged on Main Road Residents are requesting a quick solution.,Public Transport,Resolved
G140,People in the neighborhood say that bus route needs an additional stop in the apartment neighborhood and request urgent action.,Public Transport,Resolved
G141,Please address the issue that public bus is overcrowded beside the community centre The problem has continued for several days.,Public Transport,Resolved
G142,Residents reported that bus pass renewal is delayed in the apartment neighborhood Kindly send the concerned team.,Public Transport,Resolved
G143,A citizen reports that bus timings are not displayed near the railway station Please inspect and resolve this issue.,Public Transport,Resolved
G144,Several residents complain that driver is skipping stops beside the community centre Residents are requesting a quick solution.,Public Transport,Resolved
G145,A citizen reports that bus service is irregular beside the community centre Please inspect and resolve this issue.,Public Transport,Resolved
G146,Please address the issue that bus did not stop at the scheduled stop near the bus stand and request urgent action.,Public Transport,Resolved
G147,A citizen reports that bus shelter is damaged near the bus stand This is affecting daily life in the area.,Public Transport,Resolved
G148,Please address the issue that bus route needs an additional stop beside the community centre Please inspect and resolve this issue.,Public Transport,Resolved
G149,Several residents complain that public bus is overcrowded near the railway station The problem has continued for several days.,Public Transport,Resolved
G150,A citizen reports that bus pass renewal is delayed beside the community centre Kindly send the concerned team.,Public Transport,Resolved
G151,A citizen reports that government clinic is short of medicines in the apartment neighborhood and request urgent action.,Health,Resolved
G152,Several residents complain that health centre has a long waiting time in the old town area This is affecting daily life in the area.,Health,Resolved
G153,Residents reported that ambulance response is delayed in Ward 12 and request urgent action.,Health,Resolved
G154,Several residents complain that vaccination centre is not operating in the old town area Please inspect and resolve this issue.,Health,Resolved
G155,A citizen reports that doctor is unavailable at the clinic near the market Kindly send the concerned team.,Health,Resolved
G156,Several residents complain that medical waste is not disposed properly beside the community centre Kindly send the concerned team.,Health,Resolved
G157,Several residents complain that hospital cleanliness is poor near the school This is affecting daily life in the area.,Health,Resolved
G158,People in the neighborhood say that health camp information is missing near the railway station Residents are requesting a quick solution.,Health,Resolved
G159,A citizen reports that government clinic is short of medicines near the school This is affecting daily life in the area.,Health,Resolved
G160,Please address the issue that health centre has a long waiting time in the residential colony Please inspect and resolve this issue.,Health,Resolved
G161,Several residents complain that ambulance response is delayed near the railway station Kindly send the concerned team.,Health,Resolved
G162,Please address the issue that vaccination centre is not operating near the railway station Please inspect and resolve this issue.,Health,Resolved
G163,Residents reported that doctor is unavailable at the clinic near the railway station The problem has continued for several days.,Health,Resolved
G164,A citizen reports that medical waste is not disposed properly in the residential colony Residents are requesting a quick solution.,Health,Resolved
G165,A citizen reports that hospital cleanliness is poor in the old town area Residents are requesting a quick solution.,Health,Resolved
G166,Residents reported that health camp information is missing near the bus stand Kindly send the concerned team.,Health,Resolved
G167,A citizen reports that government clinic is short of medicines in the apartment neighborhood and request urgent action.,Health,Resolved
G168,Several residents complain that health centre has a long waiting time in Ward 12 Residents are requesting a quick solution.,Health,Resolved
G169,Residents reported that ambulance response is delayed near the school This is affecting daily life in the area.,Health,Resolved
G170,Residents reported that vaccination centre is not operating beside the community centre Residents are requesting a quick solution.,Health,Resolved
G171,Please address the issue that doctor is unavailable at the clinic on Main Road Residents are requesting a quick solution.,Health,Resolved
